BR;UF;CODIGO;LOCAL_INI;LOCAL_FIM;KM_INI;KM_FIM;EXTENSAO;SUPERFICIE;TR_COINCID;EST_COND;SUPERFICIE_ESTADUAL;ANO
116;SP;116BSP2310;ENTR SP-058/062 (CACHOEIRA PAULISTA);ENTR BR-459(A) (LORENA);39.1;51.1;12;DUP;;;;2009
116;SP;116BSP2330;ENTR BR-459(A) (LORENA);ENTR BR-459(B)/SP-171 (GUARATINGUETÁ);51.1;64.9;13.8;DUP;459BSP0210;;;2009
116;SP;116BSP2340;ENTR BR-459(B)/SP-171 (GUARATINGUETÁ);ENTR BR-488 (P/SANTUARIO NOSSA SENHORA  APARECIDA);64.9;71.1;6.2;DUP;;;;2009
116;SP;116BSP2345;ENTR BR-488 (P/SANTUARIO NOSSA SENHORA  APARECIDA);ENTR BR-488 (P/PORTO DE ITAGUAÇU);71.1;74.4;3.3;DUP;;;;2009
116;SP;116BSP2350;ENTR BR-488 (P/PORTO DE ITAGUAÇU);ENTR SP-062 (P/ROSEIRA);74.4;80.9;6.5;DUP;;;;2009
116;SP;116BSP2360;ENTR SP-062 (P/ROSEIRA);ENTR BR-383(A)/SP-132 (PINDAMONHANGABA);80.9;98.9;18;DUP;;;;2009
116;SP;116BSP2370;ENTR BR-383(A)/SP-132 (PINDAMONHANGABA);ENTR BR-383(B)/SP-125 (TAUBATÉ);98.9;110.6;11.7;DUP;383BSP0350;;;2009
116;SP;116BSP2390;ENTR BR-383(B)/SP-125 (TAUBATÉ);ENTR SP-070;110.6;117.3;6.7;DUP;;;;2009
116;SP;116BSP2410;ENTR SP-070;ENTR SP-103 (CAÇAPAVA);117.3;127.8;10.5;DUP;;;;2009
116;SP;116BSP2430;ENTR SP-103 (CAÇAPAVA);ENTR SP-099 (SÃO JOSÉ DOS CAMPOS);127.8;149.8;22;DUP;;;;2009
116;SP;116BSP2450;ENTR SP-099 (SÃO JOSÉ DOS CAMPOS);ENTR SP-065 (P/IGARATÁ);149.8;168.7;18.9;DUP;;;;2009
116;SP;116BSP2470;ENTR SP-065 (P/IGARATÁ);ENTR SP-056 (ARUJÁ);168.7;199.2;30.5;DUP;;;;2009
116;SP;116BSP2490;ENTR SP-056 (ARUJÁ);ENTR SP-036;199.2;216.1;16.9;DUP;;;;2009
116;SP;116BSP2510;ENTR SP-036;ENTR SP-019 (AEROPORTO INTERNACIONAL);216.1;218.2;2.1;DUP;;;;2009
116;SP;116BSP2520;ENTR SP-019 (AEROPORTO INTERNACIONAL);ENTR BR-381;218.2;226.4;8.2;DUP;;;;2009
